大陆央视,#genre#
卫视中文台,http://135.148.104.228:19806/9d38f569252d4317834d6c9a9ae03a32
星卫娱乐台,http://135.148.104.228:19806/6458c64d000ad5ba5c9b7e10601611bd
龙祥电影,http://135.148.104.228:19806/644b663d0002f2fe285c32b00e0f46ef
国会频道1,http://135.148.104.228:19806/4cfc6c926b9549c7b886205726151a3c
国会频道2,http://135.148.104.228:19806/3f4b0cb786764e0c942390995ed9ed44
佛卫慈悲台,http://135.148.104.228:19806/b1f5e04866ea476786f2d26f1d2f84f7
人间卫视,http://135.148.104.228:19806/bd9d0263e82a49d0b8312481c45df967
原住民电视台,http://135.148.104.228:19806/9d6324a6b7b142f082270bb4c6cc4e6a
客家电视台,http://135.148.104.228:19806/4e013b4f51924d289c248b45b4d74f58
大爱,http://135.148.104.228:19806/f7a978e8d6d843d7a9bdd457d5d6910c
大爱2台,http://135.148.104.228:19806/645786e2000d8b6357bbc4c47442653f
大爱(备),http://135.148.104.228:19806/210ccc7869454699884184ab4c6c477d
好消息,http://135.148.104.228:19806/597bec9089c341b3a0ae964e7dc3d3a1
好消息2台,http://135.148.104.228:19806/cb76c9e88c7640338483654e54fa3feb
HOY TV,http://135.148.104.228:19806/e77cb31fe80747d298ef0d2d9c919f07
Travel Channel,http://135.148.104.228:19806/644e9b240008c0cb34e2da7f6b043e97
滚动力rollor,http://135.148.104.228:19806/136a99af59514db0994eccafd13c926f
ROCK Extreme,http://135.148.104.228:19806/83372f3612d641d5aa2ad1a2073317b8
ROCK Entertainment,http://135.148.104.228:19806/ef256b49ee4c4b83ad97da453803dde6
ONE,http://135.148.104.228:19806/952368f8f4cf42339c651edcb6267585
ONE,http://135.148.104.228:19806/46709f19c5a2466f9ae889037f66615a
新时代1(西部),http://135.148.104.228:19806/b1ccf61be69c4586bcef99336ff297c6
新时代2,http://135.148.104.228:19806/d3875eccaa1d4b07a633402fac5cb999
新时代1(东部),http://135.148.104.228:19806/90cf0a71709d458bb17695dd32d569df
城市电视,http://135.148.104.228:19806/4ed9cf9666d7430d94e6f4f8c26986f6

美国频道,#genre#
CNN,http://135.148.104.228:19806/3745a94cbe904b9480d19a1b5dfc6275
CNBC,http://135.148.104.228:19806/8603e70bd41c4e4a9368407a8a4debdd
NBA,http://135.148.104.228:19806/65f8f2a53b6342ffb4b8d2a8542bc623
ESPN,http://135.148.104.228:19806/eb2c51ee510841a9b7845b6d13309e9c
CBSN,http://135.148.104.228:19806/a90df52b92804807b6c08cdbbead4ce4
Food Network,http://135.148.104.228:19806/4e5615643ab540cbbe0ec4a7b4e1ff95
CNN USA,http://135.148.104.228:19806/645a7af7000439b06345346b56b46fcf

国内新闻,#genre#
中天新闻台,http://135.148.104.228:19806/645a505500087efb629eacb405a54a42
中视新闻台,http://135.148.104.228:19806/8817421e14dd462f8deede53ce057af1
壹电视新闻台,http://135.148.104.228:19806/6448e5fd0004b44d1e97391d4d2c0333
无线新闻台(备),http://135.148.104.228:19806/fee4b6f52177485c870f9389d95a8801
无线新闻台,http://135.148.104.228:19806/491bba29dd93447ca316d45432412f1b
台视新闻台,http://135.148.104.228:19806/6458c34b000df71b5c8fbf0c55f221b5
台视财经台,http://135.148.104.228:19806/6458c34c00065a835c8fc1003c896dab
三立新闻台,http://135.148.104.228:19806/645500960008581e4ddf1fbf03fc57a9
三立iNEWS,http://135.148.104.228:19806/485326d984014d0fb87e9ac6ae03e137
民视新闻台,http://135.148.104.228:19806/64577cff0001eb7c5795230f6bb8749b
寰宇新闻台湾台,http://135.148.104.228:19806/6458c4bf000411595c95699b34765f35
寰宇新闻台,http://135.148.104.228:19806/644caa69000a86d02d4e808470d2023f
华视新闻,http://135.148.104.228:19806/ab85a40ff8754fe58c6aec3a9768925d
非凡新闻台,http://135.148.104.228:19806/b0b56f5fa2894372a0573751d819e46a
非凡商业台,http://135.148.104.228:19806/5fd11cbd11bc4481b7e3b16808b70a5d
东森新闻台,http://135.148.104.228:19806/64677d68000bfdc49616bfd746a567a3
东森新闻台(备),http://135.148.104.228:19806/645c9fee000e01606ba59bc415d52492
东森财经新闻台,http://135.148.104.228:19806/644bc6970002cc0e29d4923028d9436e
TVBS新闻台,http://135.148.104.228:19806/beaa6cbcf1034703a97d3295f8c0ae60
现在新闻台,http://135.148.104.228:19806/d7d8ced83c694ee09eda089b554d9dc5
JKN 18,http://135.148.104.228:19806/0df418fddf7446a5869f69f1418415d6

海外新闻,#genre#
TNN 16,http://135.148.104.228:19806/714715de5cfd4051a54105cc4ef30af6
CP24,http://135.148.104.228:19806/645a790b00087173633db3a45acb0a34
Sky News,http://135.148.104.228:19806/ddc4e102601e4fcfa5432722538cf052
France24,http://135.148.104.228:19806/36154fded93f445f863db448232fffa4
Fox News,http://135.148.104.228:19806/bc919a2d3c4f4a7a9633ded99e69d801
Fox News,http://135.148.104.228:19806/645a7af80001541a6345379702241ea6
CNN USA,http://135.148.104.228:19806/645a7af7000439b06345346b56b46fcf
MSNBC,http://135.148.104.228:19806/645a7af600072b0c6345313e244860b8
CTV News,http://135.148.104.228:19806/645a7af60000d58b63452fa83b7e2bac
Business News Network,http://135.148.104.228:19806/645a790b000e9fc8633db53a27441f5d
Euronews,http://135.148.104.228:19806/3169ef1a720442cd91af30a39cc13822
DW,http://135.148.104.228:19806/da713062bd9d419a913b6e9b1aef8fb6
CNN,http://135.148.104.228:19806/3745a94cbe904b9480d19a1b5dfc6275
CNBC,http://135.148.104.228:19806/8603e70bd41c4e4a9368407a8a4debdd
CBC News,http://135.148.104.228:19806/645a7af6000dcedb634532f4456543a4
CNA,http://135.148.104.228:19806/7d55ade47df54e3497f9e0fce031943b
CGTN,http://135.148.104.228:19806/b1f0e7e90e654f63a369f11b54428643
CBSN,http://135.148.104.228:19806/a90df52b92804807b6c08cdbbead4ce4
BBC World News,http://135.148.104.228:19806/4500941de27f434cae09553a1f0ed4d1
BBC World News,http://135.148.104.228:19806/645a7af7000a546f634536013ab664df
Arirang,http://135.148.104.228:19806/645d0a5a00075deb6d454fee5aa940d7
Al-Hijrah,http://135.148.104.228:19806/17481aac956e41ac84d833ccdfcee2f8
Al Jazeera English,http://135.148.104.228:19806/03bc1638cc9f4efe9dde7bf6a456bb5b
NHK新闻资讯台,http://135.148.104.228:19806/2827343b83c648d08bf066785cf70ad0

音乐频道,#genre#
MTV,http://135.148.104.228:19806/2db96125eaff4f459c2c18dccc2762fa
MTV Live,http://135.148.104.228:19806/644b68b5000c14aa2865d9c1567d521e
Mezzo Live,http://135.148.104.228:19806/35c919f9094445e98749b1511bb4aaf4
CLASSICA 古典乐,http://135.148.104.228:19806/bfcce4097e7b43c0affa24d6ec263175
CMusic,http://135.148.104.228:19806/7e72c3e7a1584bc096789ccd40162bc4

国内体育,#genre#
CCTV16,http://135.148.104.228:19806/c2001475104d47b9815a8c3e5e73a761
CCTV5,http://135.148.104.228:19806/0126636bbd494267ae7f17c8abc8521f
CCTV5+,http://135.148.104.228:19806/631fd43e577344b6ab6bd628dfa384ca
五星体育,http://135.148.104.228:19806/951eda934cf3474d99e84a3ec47648fa
HKC 18,http://135.148.104.228:19806/2ea5b3599fc94ffbaf94bcec0b1a436d
HKC 603,http://135.148.104.228:19806/2141e79414314275a21c96d6b9a74933
HKC Sports Plus 1,http://135.148.104.228:19806/82f71e9986084c86a85807f6fa9ab8a5
HKC Sports Plus 3,http://135.148.104.228:19806/a27709fdfa574a5f9ca52c490a37435b
HKC體育台,http://135.148.104.228:19806/edd0e12a6a464363a6bf754f4ecc0b99
爱尔达体育1台(备),http://135.148.104.228:19806/7ee39f66b9f448979335e4067812760f
爱尔达体育1台,http://135.148.104.228:19806/694aae01164f482eae2be66c1255171c
爱尔达体育2台,http://135.148.104.228:19806/64604ca4000ec4a27a0042e203a811eb
爱尔达体育3台,http://135.148.104.228:19806/bed0a4b629d149bc90aee0522c633b43
博斯高球,http://135.148.104.228:19806/644e9b25000c685d34e2df612a7375dc
博斯高球二台,http://135.148.104.228:19806/5469d36a29bd428bbd60342fe7db2471
博斯魅力网,http://135.148.104.228:19806/d2e51a0dea8e4698945f956bd8e13ad9
博斯网球台,http://135.148.104.228:19806/644e9b26000400c834e2e116485d6736
博斯无限二台,http://135.148.104.228:19806/4e3ed72f4150435d90bf020a74ea1bc5
博斯无限台,http://135.148.104.228:19806/644e9b25000559f634e2dd8c46c81a89
博斯运动,http://135.148.104.228:19806/644e9b24000f31b634e2dc24008c5e76
博斯运动二台,http://135.148.104.228:19806/5faa98e5bbc442e4bd72b544651dd1be
广东体育,http://135.148.104.228:19806/645e3c3f0008eacb71f036e30c4b2c2f
魅力足球,http://135.148.104.228:19806/4f8ae19901604006bdf0708826db9862
纬来体育台,http://135.148.104.228:19806/801a9a12c10d4d04953332771aee0dba
纬来育乐台,http://135.148.104.228:19806/dd458fff62614481a7e9d65da897af75
智林体育台,http://135.148.104.228:19806/e32d399935b14711ad1b193cd5841274

海外体育,#genre#
Z频道,http://135.148.104.228:19806/2a5836bb5cae422b95e2a523e488bb24
WWE,http://135.148.104.228:19806/157d295b0933470ab2c880d58a7f14ce
beIN Sports 2,http://135.148.104.228:19806/645c759a000df5e36b0043a45841498d
TRACE Sport Stars,http://135.148.104.228:19806/e52cafc2a2864446ba65c2b1e787ef52
SPOTV,http://135.148.104.228:19806/c028696060a84386bcd49c9e012904d7
SPOTV,http://135.148.104.228:19806/441089d1c6864877a82d8dbde582d645
SPOTV 2,http://135.148.104.228:19806/d33cf3ddad0444cfaf5118ccc834c1e7
Skynet Sports HD,http://135.148.104.228:19806/a058e07556204a1ab4287b441eb54e05
Skynet Sports 6,http://135.148.104.228:19806/b5ee6b4f6bb543cd8a1f426faa16821a
Skynet Sports 5,http://135.148.104.228:19806/cfb47a7ba5d2491ebe8b354e58c1cc43
Skynet Sports 2,http://135.148.104.228:19806/fb0b368a0dce4d7c8b9002a3180d8d2f
Sky Sports Golf,http://135.148.104.228:19806/645a790a0004f5cd633daed26aee7b23
Sky Sports Premier League,http://135.148.104.228:19806/645a7909000dea5f633dad3c3bce57a0
Sky Sports F1,http://135.148.104.228:19806/645a79090007c7ca633daba56c082f41
Sky Sports Arena,http://135.148.104.228:19806/645a79090001b0f6633daa0f54594999
Sky Sports Main Event,http://135.148.104.228:19806/645a7908000a62f8633da86939df12de
